word,lemma
",",","
a,a
.,.
az,az
és,és
A,a
hogy,hogy
is,is
nem,nem
-,-
),)
(,(
egy,egy
Az,az
...,.
meg,meg
vagy,vagy
&,""""
kell,kell
csak,csak
de,de
van,van
volt,van
már,már
ha,ha
el,el
még,még
azt,az
ez,ez
mint,mint
ki,ki
sem,sem
akkor,akkor
lehet,lesz
minden,minden
s,s
szerint,szerint
olyan,olyan
mert,mert
Ha,ha
Ez,ez
be,be
úgy,úgy
pedig,pedig
ezt,ez
így,így
fel,fel
után,után
magyar,magyar
több,több
két,két
Nem,nem
új,új
nagy,nagy
illetve,illetve
majd,majd
között,között
amely,amely
aki,aki
első,első
hanem,hanem
arra,az
jó,jó
ami,ami
más,más
nagyon,nagyon
való,való
itt,itt
lesz,lesz
azonban,azonban
által,által
számára,számára
valamint,valamint
mi,mi
én,én
most,most
nincs,nincs
egyik,egyik
alapján,alap
volna,van
alatt,alatt
amikor,amikor
akik,aki
amit,ami
annak,az
ilyen,ilyen
De,de
ember,ember
saját,saját
-e,-e
1,1
mellett,mellett
8211,8211
ne,ne
miatt,miatt
ahol,ahol
sok,sok
Egy,egy
azért,azért
mindig,mindig
előtt,előtt
ő,ő
2,2
során,sor
le,le
ott,ott
át,át
e,e
jól,jól
megfelelő,megfelelő
szükséges,szükséges
ezért,ezért
nélkül,nélkül
vannak,van
egész,egész
És,és
év,év
hiszen,hiszen
tehát,tehát
amelyek,amely
kis,kis
például,például
teljes,teljes
Magyar,Magyar
adott,ad
másik,másik
belül,belül
néhány,néhány
esetén,eset
milyen,milyen
esetben,eset
3,3
áll,áll
ma,ma
nagyobb,nagy
azok,az
fontos,fontos
három,három
ennek,ez
rá,rá
lenne,lesz
legyen,lesz
igen,igen
együtt,együtt
mind,mind
stb.,stb
ezek,ez
lett,lesz
mely,mely
őket,ők
vagyok,van
akár,akár
egyes,egyes
különböző,különböző
inkább,inkább
következő,következő
Ezt,ez
Ennek,ez
éves,éves
gazdasági,gazdasági
ezen,ez
közül,közül
törvény,törvény
viszont,viszont
éppen,éppen
Minden,minden
erre,ez
mit,mi
szó,szó
szakmai,szakmai
érdekében,érdek
Isten,Isten
ezzel,ez
hozzá,ő
módon,mód
arról,az
maga,maga
évi,évi
abban,az
ebben,ez
egyéb,egyéb
egyre,egyre
emberek,ember
részt,rész
szóló,szóló
voltak,van
kellett,kell
tovább,tovább
helyi,helyi
azzal,az
politikai,politikai
mivel,mivel
legalább,legalább
talán,talán
mondta,mond
rendszer,rendszer
található,található
magát,maga
neki,ő
Ft,ft
kívül,kívül
túl,túl
került,kerül
vonatkozó,vonatkozó
','
ugyanis,ugyanis
idő,idő
valami,valami
történő,történő
Én,én
nap,nap
általában,általában
óta,óta
benne,ő
kapcsolatos,kapcsolatos
tudja,tud
emberi,emberi
szemben,szemben
ahogy,ahogy
Azt,az
második,második
miért,miért
vissza,vissza
fog,fog
Csak,Csak
jelentős,jelentős
további,további
közös,közös
pl.,pl.
Így,így
jelent,jelenik
teljesen,teljes
nemzetközi,nemzetközi
Európai,Európai
azokat,az
össze,össze
általános,általános
4,4
kerül,kerül
azon,az
te,te
hogyan,hogyan
amelyet,amely
lévő,lévő
újra,újra
tudom,tud
elsősorban,elsősorban
elég,elég
társadalmi,társadalmi
meghatározott,meg+határoz
Ezek,ez
szinte,szinte
ország,ország
vele,vele
világ,világ
felé,felé
képes,képes
szabad,szabad
része,rész
aztán,aztán
évben,év
ellen,ellen
szükség,szükség
kormány,kormány
kapcsolatban,kapcsolat
egyetlen,egyetlen
mégis,mégis
Kft.,Kft.
keresztül,keresztül
élet,élet
történt,történik
jobb,jó
legnagyobb,nagy
program,program
esetében,eset
tud,tud
mindenki,mindenki
hosszú,hosszú
valaki,valaki
Mi,mi
5,5
E,e
európai,európai
míg,míg
elő,elő
bizonyos,bizonyos
elmúlt,elmúlt
város,város
Itt,itt
