word,lemma
az,az
és,és
hogy,hogy
is,is
nem,nem
egy,egy
Az,az
meg,meg
vagy,vagy
volt,van
de,de
csak,csak
van,van
kell,kell
már,már
azt,az
ez,ez
ha,ha
el,el
még,még
mint,mint
ki,ki
szerint,szerint
akkor,akkor
sem,sem
lehet,lesz
olyan,olyan
mert,mert
magyar,magyar
ezt,ez
minden,minden
pedig,pedig
úgy,úgy
két,két
be,be
után,után
Ez,ez
több,több
így,így
majd,majd
fel,fel
Ha,ha
új,új
között,között
nagy,nagy
aki,aki
Nem,nem
amely,amely
első,első
most,most
nagyon,nagyon
arra,az
lesz,lesz
illetve,illetve
ami,ami
itt,itt
hanem,hanem
&ndash;,&ndash;
azonban,azonban
jó,jó
egyik,egyik
én,én
volna,van
más,más
mi,mi
ilyen,ilyen
amikor,amikor
által,által
amit,ami
való,való
miatt,miatt
De,de
annak,az
nincs,nincs
-e,-e
valamint,valamint
alatt,alatt
azért,azért
akik,aki
számára,számára
Magyar,Magyar
ahol,ahol
mellett,mellett
alapján,alap
előtt,előtt
ott,ott
ne,ne
sok,sok
tehát,tehát
ember,ember
saját,saját
&verbar;,&verbar
le,le
Egy,egy
És,és
hiszen,hiszen
év,év
ezért,ezért
mindig,mindig
át,át
vannak,van
például,például
mondta,mond
lett,lesz
ennek,ez
ma,ma
nélkül,nélkül
során,sor
jól,jól
három,három
amelyek,amely
másik,másik
&rdquo;,&rdquo;
kormány,kormány
egész,egész
lenne,lesz
igen,igen
milyen,milyen
néhány,néhány
arról,az
teljes,teljes
kis,kis
szó,szó
adott,ad
ezek,ez
viszont,viszont
azok,az
törvény,törvény
belül,belül
gazdasági,gazdasági
úr,úr
szóló,szóló
fontos,fontos
áll,áll
megfelelő,megfelelő
szükséges,szükséges
ezzel,ez
akár,akár
nagyobb,nagy
ebben,ez
éves,éves
erre,ez
együtt,együtt
mind,mind
politikai,politikai
legyen,lesz
következő,következő
rá,rá
esetben,eset
inkább,inkább
vagyok,van
őket,ők
mit,mi
&bdquo;,&bdquo;
Ezt,ez
éppen,éppen
voltak,van
László,László
került,kerül
azzal,az
egyes,egyes
ezen,ez
kellett,kell
közül,közül
ugyanis,ugyanis
évi,évi
ellen,ellen
Európai,Európai
mivel,mivel
Én,én
abban,az
maga,maga
második,második
mely,mely
István,István
érdekében,érdek
különböző,különböző
óta,óta
Azt,az
részt,rész
Ennek,ez
módon,mód
esetén,eset
ország,ország
talán,talán
emberek,ember
egyre,egyre
ahogy,ahogy
tovább,tovább
magát,maga
fog,fog
nemzetközi,nemzetközi
szemben,szemben
János,János
helyi,helyi
vonatkozó,vonatkozó
című,című
tudja,tud
valami,valami
jelent,jelenik
képviselő,képviselő
Köszönöm,köszön
vissza,vissza
forint,forint
európai,európai
idő,idő
amelyet,amely
legalább,legalább
stb.,stb
tudom,tud
Magyarországon,Magyarország
rendszer,rendszer
jelentős,jelentős
miért,miért
kívül,kívül
